,차량모델,차량번호,가격,연식,주행거리,연료,배기량,차종,색상,변속기,보험사고 이력
0,아우디 뉴 A3 40 TFSI 8V,43노4977,2150만원,18년 09월식,41687Km,가솔린,1984cc,준중형차,검정색,오토,0회
1,렉서스 RX450h 4세대 이그제큐티브,309구4623,7350만원,21년 03월식,31672Km,가솔린+전기,3456cc,SUV,검정색,오토,2회
2,아우디 뉴 A6 35 TDI 프리미엄 C7,11오4197,2200만원,15년 06월식 (16년형),125431Km,디젤,1968cc,중형차,흰색,오토,1회
3,벤츠 B-클래스 W246 B200 d,02누2483,2270만원,17년 12월식 (18년형),37221Km,디젤,2143cc,RV,은색,오토,0회
4,볼보 V40 크로스컨트리 D3,17라0366,2030만원,16년 07월식,77069Km,디젤,1969cc,SUV,검정색,오토,1회
5,벤츠 E-클래스 W213 E300 AMG Line,351우5350,5280만원,18년 12월식 (19년형),51642Km,가솔린,1991cc,중형차,검정색,오토,0회
6,아우디 뉴 A3 35 TDI 다이나믹 스포트백 8V,45구9695,1930만원,15년 02월식,39765Km,디젤,1968cc,준중형차,검정색,오토,1회
7,폭스바겐 티구안 2세대 2.0 TDI 프레스티지,287가4915,3190만원,20년 07월식,17733Km,디젤,1968cc,SUV,은색,오토,1회
8,벤츠 CLA-클래스 C117 CLA250 4MATIC,23루0166,2700만원,15년 09월식,35392Km,가솔린,1991cc,준중형차,은회색,오토,1회
9,BMW 5시리즈 (G30) 520i 럭셔리,143수8279,4159만원,18년 08월식,42975Km,가솔린,1998cc,중형차,검정색,오토,1회
10,BMW X5 (F15) xDrive 30d,52오1501,4140만원,17년 05월식,134186Km,디젤,2993cc,SUV,검정색,오토,1회
11,BMW 3시리즈 (F30) 320d,62더4106,2450만원,17년 03월식,48806Km,디젤,1995cc,준중형차,검정색,오토,5회
12,벤츠 GLA-클래스 X156 GLA220 프리미엄,14수7818,3630만원,19년 08월식,11165Km,가솔린,1991cc,SUV,검정색,오토,1회
13,벤츠 S-클래스 W222 마이바흐 S560 4MATIC,55가1025,11400만원,17년 11월식 (18년형),106791Km,가솔린,3982cc,대형차,검정색,오토,2회
14,푸조 508 1.6 BlueHDi 알뤼르 1세대,21모9213,1900만원,18년 08월식,47084Km,디젤,1560cc,중형차,은색,오토,1회
15,폭스바겐 골프 7세대 2.0 GTD,11무6264,1980만원,15년 06월식,68469Km,디젤,1968cc,준중형차,쥐색,오토,1회
16,볼보 S90 D4 인스크립션,62너5732,3980만원,18년 05월식,74644Km,디젤,1969cc,대형차,검정색,오토,2회
17,BMW 7시리즈 (G11) 740d xDrive M 스포츠,34나3481,6700만원,18년 05월식,49357Km,디젤,2993cc,대형차,검정색(카본블랙),오토,3회
18,벤츠 GLC-클래스 X253 GLC220 d 4MATIC,52라9623,4690만원,18년 02월식,41393Km,디젤,2143cc,SUV,흰색,오토,0회
19,아우디 뉴 A6 3.0 TFSI 콰트로 C6,51고7804,599만원,10년 04월식,144151Km,가솔린,2995cc,중형차,은색,오토,6회
20,벤츠 S-클래스 W222 S350 d 4MATIC,254거8003,6250만원,17년 02월식,77620Km,디젤,2987cc,대형차,은색,오토,2회
21,미니 쿠퍼 5도어 기본형 3세대,19오7344,1670만원,15년 12월식 (16년형),60536Km,가솔린,1499cc,소형차,검정색,오토,1회
22,벤츠 S-클래스 W222 S350 d 4MATIC,04너8737,8590만원,17년 11월식 (18년형),49816Km,디젤,2925cc,대형차,검정색,오토,0회
23,지프 랭글러 (JK) 2.8 디젤 사하라 4도어,24머6708,2570만원,13년 04월식,118809Km,디젤,2776cc,SUV,검정색,오토,2회
24,벤츠 E-클래스 W212 E350 블루텍 4MATIC,08더8522,2799만원,15년 10월식 (16년형),91332Km,디젤,2987cc,중형차,은색,오토,2회
25,BMW 3시리즈 (F30) 320d ED에디션,42수8796,1400만원,13년 04월식,103870Km,디젤,1995cc,준중형차,흰색,오토,6회
26,아우디 SQ5 3.0 TDI 콰트로 8R,28더8228,3100만원,13년 12월식 (14년형),79536Km,디젤,2967cc,SUV,검정색,오토,2회
27,혼다 오딧세이 3.5 5세대,69조3973,3770만원,19년 03월식,52103Km,가솔린,3471cc,RV,흰색,오토,2회
28,미니 쿠퍼 컨트리맨 HIGH 2세대,239부9118,3400만원,19년 10월식,6388Km,가솔린,1499cc,SUV,빨간색,오토,0회
29,푸조 5008 2세대 1.5 BlueHDi GT Line,01무7367,2999만원,19년 03월식,68037Km,디젤,1499cc,SUV,쥐색,오토,1회
30,BMW X7 (G07) xDrive 40i M 스포츠,300부1081,11650만원,21년 02월식,35775Km,가솔린,2998cc,SUV,흰색,오토,1회
31,재규어 F-TYPE P300 컨버터블 X152,170누2688,8490만원,21년 05월식,7114Km,가솔린,1997cc,스포츠카,청색,오토,0회
32,벤츠 S-클래스 W222 마이바흐 S560 4MATIC,23로5060,14300만원,18년 12월식 (19년형),62080Km,가솔린,3982cc,대형차,검정색,오토,3회
33,BMW X1 (F48) xDrive 18d 조이,41어7100,3400만원,19년 06월식,11126Km,디젤,1995cc,SUV,흰색,오토,0회
34,BMW 5시리즈 (G30) 520i 럭셔리,203우6352,4499만원,18년 08월식,16754Km,가솔린,1998cc,중형차,흰색,오토,0회
35,폭스바겐 티구안 2세대 2.0 TDI 4모션 프레스티지,138두7968,2720만원,18년 06월식,110284Km,디젤,1968cc,SUV,은색,오토,0회
36,BMW 4시리즈 (F32) 428i M 스포츠 컨버터블,398누8282,3530만원,14년 08월식,43431Km,가솔린,1997cc,스포츠카,흰색,오토,3회
37,벤츠 S-클래스 W221 S500L,49주8528,1350만원,08년 08월식,130542Km,가솔린,5462cc,대형차,은색,오토,3회
38,BMW 5시리즈 (G30) 530e M 스포츠,277마5761,7150만원,21년 02월식,7603Km,가솔린+전기,1998cc,중형차,흰색,오토,0회
39,벤츠 E-클래스 W213 E200 아방가르드,46거7793,3650만원,17년 01월식,79940Km,가솔린,1991cc,중형차,흰색,오토,2회
40,재규어 XF (X260) 20d 포트폴리오,38라5174,2390만원,17년 03월식,84809Km,디젤,1999cc,중형차,청색,오토,0회
41,벤츠 S-클래스 W222 S350 d 4MATIC,49어7466,7990만원,18년 01월식,97406Km,디젤,2925cc,대형차,검정색,오토,3회
42,아우디 뉴 A6 35 TDI C7,03저3265,2850만원,18년 03월식,94739Km,디젤,1968cc,중형차,흰색,오토,0회
43,BMW X1 (E84) xDrive 18d,61어7311,1120만원,15년 02월식,194664Km,디젤,1995cc,SUV,청색,오토,3회
